latitude;longitude;altitude;geometry;@id;amenity;cuisine;name;source;contact:website;description;diet:vegan;diet:vegetarian;addr:housenumber;wikidata;contact:city;contact:housenumber;contact:phone;contact:postcode;contact:street;opening_hours;wheelchair;shop;opening_hours:covid19;email;phone;ref:FR:SIRET;source:date;website;indoor;level;capacity;start_date;takeaway;outdoor_seating;delivery;internet_access;smoking;ref:FR:NAF;ref:FR:SIREN;ref:vatin;currency:XLT;payment:cash:XLT-STUK;takeaway:covid19;addr:city;addr:postcode;addr:street;name:en;name:fr;check_date:diet:vegetarian;name:de;contact:email;delivery:covid19;description:covid19;facebook;instagram;survey:date;access:covid19;check_date:opening_hours;diet:kosher;diet:pescetarian;internet_access:fee;contact:facebook;contact:instagram;office;diet:halal;diet:meat;strapline;air_conditioning;lgbtq;reservation
48.5838077;7.7348637;;Point;node/501820176;restaurant;chinese;New Chinatown;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5842546;7.7375362;;Point;node/501850499;restaurant;;Le Botaniste;survey;http://lebotanistestrasbourg.fr/;bar-café-restaurant;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5839098;7.7370412;;Point;node/501850511;restaurant;;Restaurant Brasserie L'Anatolie (Titan);"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5827572;7.7333949;;Point;node/597296436;restaurant;french;La Grande Vitesse;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5856856;7.7403486;;Point;node/597329597;restaurant;;Pho Kim Saigon;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.583691;7.7474191;;Point;node/597452452;restaurant;french;Le Crocodile;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009;http://www.au-crocodile.com/;;;;10;Q4818940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.582732;7.744598;;Point;node/625536927;restaurant;;Secret De Table;;www.secrets-de-table.fr;;;;;;Strasbourg;39;+33 3 88 21 09 10;67000;Rue du 22 Novembre;Mo-Sa 08:30-18:00;limited;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5886991;7.7469221;;Point;node/661188943;restaurant;"burger;french";La Petite Cantoche;;;;;;;;Strasbourg;23;;67000;Rue du Fossé des Treize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5858895;7.7469782;;Point;node/661527396;restaurant;sushi;Yapan sushi;survey;;;yes;yes;;;;;;;;;;dry_cleaning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.5859483;7.7428459;;Point;node/665391166;restaurant;;Novotel Café Restaurant;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;;;;;;;;;;;;;;;off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
